question,difficulty,category,correct_answer,incorrect_answers_1,incorrect_answers_2,incorrect_answers_3
What is the capital of Japan?,medium,Geography,Tokyo,Beijing,Seoul,Hanoi
Who painted the Mona Lisa?,medium,Art,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet
What is the largest mammal in the world?,easy,Science,Blue whale,Elephant,Giraffe,Lion
In which year did World War II end?,hard,History,1945,1939,1941,1943
Which element has the chemical symbol 'O'?,easy,Science,Oxygen,Gold,Silver,Iron
Who wrote To Kill a Mockingbird?,medium,Books,Harper Lee,George Orwell,J.K. Rowling,Ernest Hemingway
What is the main ingredient in guacamole?,easy,Food,Avocado,Tomato,Onion,Lime
Which planet is known as the Red Planet?,easy,Science,Mars,Venus,Jupiter,Saturn
What is the square root of 144?,easy,Mathematics,12,10,8,16
Who is known as the Father of Computer Science?,hard,Science,Alan Turing,Ada Lovelace,Charles Babbage,Grace Hopper
